country_of_origin,destination_country,destination_city,year,count,gender,age_group
Kenya,India,Bangalore,2020,1677,Female,23-26
India,Netherlands,Rotterdam,2018,4147,Male,23-26
Nepal,Finland,Helsinki,2015,361,Female,18-22
Pakistan,South Africa,Pretoria,2018,1361,Male,18-22
Kenya,Norway,Bergen,2015,1087,Female,23-26
Brazil,Australia,Melbourne,2021,3167,Male,23-26
India,USA,Chicago,2019,13841,Male,18-22
Vietnam,Finland,Turku,2020,587,Male,27+
Turkey,Singapore,Singapore,2022,2072,Female,18-22
Nepal,Canada,Toronto,2019,3589,Male,18-22
Vietnam,Netherlands,Amsterdam,2018,1984,Male,23-26
Brazil,South Korea,Seoul,2023,2239,Male,18-22
Vietnam,Russia,Moscow,2015,1475,Female,27+
China,UK,London,2019,9216,Female,23-26
India,Italy,Rome,2019,5260,Non-binary,23-26
Nigeria,Sweden,Stockholm,2018,2551,Female,23-26
Nigeria,Canada,Montreal,2019,5626,Male,23-26
Bangladesh,Australia,Brisbane,2017,3560,Male,18-22
Turkey,Russia,Moscow,2015,1536,Male,23-26
Brazil,Ireland,Dublin,2019,993,Male,18-22
Pakistan,Finland,Turku,2020,754,Female,23-26
Nepal,India,Delhi,2015,900,Female,23-26
Bangladesh,Italy,Milan,2020,2048,Male,18-22
Brazil,India,Mumbai,2022,1514,Male,23-26
Nepal,Canada,Toronto,2017,2710,Female,18-22
China,Finland,Tampere,2023,1410,Female,18-22
Bangladesh,South Africa,Cape Town,2020,1423,Female,23-26
Nepal,Japan,Kyoto,2023,3426,Male,27+
Nepal,France,Paris,2021,3100,Male,23-26
Kenya,Netherlands,Amsterdam,2023,1606,Male,23-26
China,Spain,Madrid,2020,4715,Female,27+
Turkey,Spain,Barcelona,2024,2566,Male,27+
Nigeria,Russia,St. Petersburg,2020,3145,Female,23-26
Turkey,Japan,Tokyo,2017,2142,Female,18-22
Nigeria,Spain,Barcelona,2018,3577,Female,23-26
China,Sweden,Gothenburg,2016,2311,Male,23-26
China,Japan,Kyoto,2020,5354,Female,23-26
India,India,Mumbai,2019,3176,Male,23-26
Vietnam,UK,London,2017,4329,Male,18-22
Nigeria,Netherlands,Amsterdam,2024,3193,Male,18-22
Bangladesh,Singapore,Singapore,2022,2477,Female,18-22
China,Ireland,Cork,2016,1270,Male,18-22
Vietnam,Japan,Tokyo,2022,2803,Male,23-26
Pakistan,USA,New York,2018,6074,Female,18-22
Pakistan,Sweden,Uppsala,2019,1656,Male,18-22
China,Sweden,Uppsala,2017,2886,Male,23-26
Bangladesh,Spain,Valencia,2021,2141,Non-binary,18-22
Bangladesh,South Korea,Daejeon,2017,2244,Female,27+
Nepal,Japan,Osaka,2022,3118,Female,18-22
Nepal,Norway,Oslo,2017,1181,Female,23-26
India,Singapore,Singapore,2016,4393,Female,18-22
Brazil,India,Bangalore,2024,1682,Female,27+
India,Russia,Moscow,2018,4511,Male,27+
Turkey,South Africa,Cape Town,2021,1698,Male,18-22
Bangladesh,Russia,St. Petersburg,2017,1948,Female,23-26
Pakistan,USA,Chicago,2016,5254,Female,18-22
Nepal,UK,London,2021,3286,Female,18-22
India,Sweden,Gothenburg,2021,3702,Male,27+
Turkey,Netherlands,Rotterdam,2018,1661,Female,18-22
Nepal,Finland,Turku,2017,545,Male,18-22
Pakistan,South Africa,Johannesburg,2016,1462,Male,27+
Vietnam,South Korea,Busan,2016,2397,Male,18-22
Turkey,Russia,St. Petersburg,2020,1694,Female,18-22
Brazil,Japan,Tokyo,2022,2883,Female,27+
China,Italy,Milan,2020,3931,Male,18-22
Nepal,USA,Los Angeles,2020,4055,Non-binary,23-26
Vietnam,Singapore,Singapore,2017,1645,Male,18-22
Kenya,Australia,Sydney,2024,3424,Female,23-26
Pakistan,Canada,Montreal,2020,3085,Male,23-26
Turkey,Singapore,Singapore,2017,1430,Female,18-22
Nepal,Spain,Barcelona,2018,2374,Male,18-22
Vietnam,USA,New York,2015,4192,Male,18-22
Nepal,Netherlands,Rotterdam,2018,1904,Male,23-26
China,Germany,Munich,2015,5625,Male,18-22
Kenya,Singapore,Singapore,2016,1169,Female,23-26
Brazil,USA,Boston,2019,3959,Male,23-26
Vietnam,Netherlands,Amsterdam,2021,2011,Male,23-26
Vietnam,Australia,Brisbane,2020,3922,Male,27+
Brazil,Singapore,Singapore,2020,1833,Female,18-22
Bangladesh,Australia,Melbourne,2020,3707,Male,18-22
Kenya,Norway,Bergen,2015,1186,Female,23-26
Vietnam,Ireland,Cork,2023,1071,Female,23-26
Nepal,Italy,Milan,2018,1740,Male,18-22
India,UK,London,2016,9459,Male,23-26
Nepal,Ireland,Galway,2018,864,Male,18-22
Pakistan,Russia,St. Petersburg,2023,2212,Female,18-22
Turkey,South Africa,Pretoria,2024,1515,Male,18-22
Pakistan,Netherlands,Amsterdam,2024,2323,Female,23-26
Nepal,Germany,Frankfurt,2016,2151,Female,18-22
Bangladesh,South Korea,Daejeon,2022,2875,Male,23-26
Turkey,Japan,Osaka,2021,2801,Female,23-26
Pakistan,Netherlands,Rotterdam,2018,1719,Male,27+
Brazil,Japan,Tokyo,2020,2016,Female,27+
Bangladesh,UAE,Abu Dhabi,2017,1095,Male,23-26
Nigeria,UAE,Sharjah,2020,1511,Male,18-22
China,Singapore,Singapore,2015,2896,Female,18-22
Pakistan,Japan,Kyoto,2020,3112,Female,27+
China,Norway,Oslo,2021,2592,Male,18-22
China,Sweden,Stockholm,2023,3917,Male,18-22
Vietnam,Spain,Valencia,2020,2358,Female,23-26
Brazil,Italy,Rome,2022,1900,Male,23-26
China,Japan,Osaka,2023,6092,Female,18-22
Bangladesh,Germany,Hamburg,2020,2968,Male,27+
India,Ireland,Cork,2021,1973,Non-binary,18-22
Nepal,Norway,Oslo,2021,1060,Male,18-22
Pakistan,Japan,Kyoto,2016,2009,Male,18-22
Vietnam,Norway,Trondheim,2018,1302,Male,23-26
Nepal,Canada,Vancouver,2018,2246,Male,27+
Turkey,Sweden,Stockholm,2021,1791,Female,23-26
Bangladesh,Spain,Barcelona,2015,2247,Female,23-26
Pakistan,Ireland,Galway,2021,974,Female,18-22
Turkey,UAE,Dubai,2023,859,Male,18-22
Kenya,Italy,Florence,2024,3061,Male,18-22
Kenya,Australia,Sydney,2018,3706,Male,18-22
India,India,Delhi,2022,3224,Female,23-26
China,Norway,Oslo,2020,3022,Male,18-22
India,UK,London,2015,8392,Female,18-22
Kenya,Norway,Trondheim,2020,1791,Female,18-22
China,Russia,Kazan,2022,4383,Male,18-22
Brazil,Australia,Sydney,2016,2988,Female,18-22
Nepal,Russia,St. Petersburg,2018,1542,Male,23-26
Nepal,Spain,Barcelona,2018,2746,Female,23-26
Kenya,Russia,St. Petersburg,2017,1969,Female,23-26
India,Finland,Helsinki,2018,1431,Male,18-22
Nepal,Singapore,Singapore,2023,1704,Male,23-26
Bangladesh,USA,Boston,2017,4469,Male,18-22
Kenya,South Africa,Pretoria,2016,1413,Female,18-22
Turkey,Germany,Hamburg,2019,3159,Female,27+
Kenya,UK,Manchester,2023,3748,Male,18-22
Pakistan,Australia,Melbourne,2020,3422,Female,23-26
Pakistan,South Korea,Daejeon,2017,2556,Female,18-22
Kenya,Canada,Toronto,2022,4668,Male,23-26
China,UAE,Sharjah,2019,1987,Female,27+
China,Singapore,Singapore,2023,4287,Male,23-26
Vietnam,Finland,Helsinki,2015,396,Male,18-22
Bangladesh,South Korea,Daejeon,2021,2729,Female,18-22
Pakistan,Canada,Toronto,2021,2955,Male,18-22
Brazil,USA,Chicago,2017,4469,Male,23-26
Turkey,Finland,Turku,2016,487,Female,27+
Vietnam,UAE,Sharjah,2023,1177,Male,18-22
Turkey,Ireland,Galway,2018,991,Male,18-22
Vietnam,Australia,Sydney,2019,3187,Male,23-26
Nigeria,France,Lyon,2020,5291,Male,23-26
Kenya,Sweden,Stockholm,2019,1480,Female,23-26
China,Ireland,Galway,2022,1982,Male,27+
Brazil,Spain,Valencia,2024,2206,Male,18-22
Brazil,India,Bangalore,2015,1354,Male,18-22
Brazil,Australia,Brisbane,2024,4432,Female,23-26
Brazil,Australia,Brisbane,2020,3397,Male,23-26
India,Ireland,Dublin,2020,2088,Male,23-26
China,Finland,Tampere,2022,1420,Male,18-22
Bangladesh,USA,New York,2018,5545,Male,18-22
India,South Africa,Johannesburg,2019,3313,Male,18-22
Vietnam,Spain,Barcelona,2021,2676,Female,23-26
Turkey,Germany,Munich,2020,2820,Female,18-22
China,Netherlands,Amsterdam,2020,3485,Male,23-26
Vietnam,Norway,Oslo,2022,1050,Male,18-22
India,Canada,Montreal,2018,8496,Male,23-26
Bangladesh,Germany,Frankfurt,2015,1612,Female,23-26
Nigeria,South Africa,Pretoria,2015,2072,Male,18-22
Nigeria,Russia,Moscow,2016,1767,Male,23-26
Kenya,UK,Manchester,2019,4609,Male,18-22
Kenya,France,Marseille,2022,3495,Female,18-22
Nepal,Ireland,Galway,2017,606,Female,23-26
Turkey,Singapore,Singapore,2018,1386,Male,23-26
Nepal,France,Marseille,2020,3087,Female,18-22
Nepal,France,Lyon,2016,3252,Female,18-22
Pakistan,Germany,Frankfurt,2020,3369,Male,23-26
Bangladesh,Ireland,Dublin,2015,682,Female,18-22
Kenya,Russia,Kazan,2020,2411,Male,18-22
China,USA,Chicago,2024,15194,Male,23-26
Turkey,Australia,Melbourne,2019,3507,Female,18-22
Pakistan,Italy,Rome,2018,2103,Female,18-22
Pakistan,Ireland,Galway,2021,951,Female,18-22
Brazil,Ireland,Cork,2021,841,Male,18-22
Nigeria,France,Paris,2015,4772,Female,18-22
Bangladesh,Norway,Oslo,2023,1366,Male,23-26
Turkey,Russia,Kazan,2024,2453,Male,23-26
Kenya,Finland,Helsinki,2015,496,Female,18-22
China,Finland,Helsinki,2015,1196,Female,27+
Nepal,Germany,Berlin,2018,2588,Male,18-22
Brazil,Netherlands,Amsterdam,2024,2069,Female,23-26
Brazil,Canada,Toronto,2017,3965,Female,23-26
Pakistan,Japan,Kyoto,2020,2180,Male,23-26
India,Netherlands,Rotterdam,2024,5877,Female,23-26
Vietnam,UK,Manchester,2023,5227,Female,18-22
Vietnam,France,Paris,2022,4182,Female,23-26
India,USA,Boston,2017,13305,Female,18-22
Vietnam,Canada,Montreal,2016,2696,Female,23-26
Nepal,France,Lyon,2023,4505,Female,23-26
China,Sweden,Stockholm,2023,3332,Female,27+
India,South Korea,Seoul,2020,5771,Male,23-26
Bangladesh,Japan,Kyoto,2022,2950,Male,18-22
Nigeria,India,Bangalore,2024,2088,Male,18-22
Bangladesh,India,Delhi,2020,1644,Male,18-22
Pakistan,South Korea,Busan,2019,2441,Male,18-22
Brazil,Spain,Barcelona,2018,2286,Male,18-22
Vietnam,France,Paris,2016,2867,Female,23-26
Nigeria,Spain,Madrid,2023,4666,Female,18-22
Vietnam,Germany,Berlin,2024,2934,Female,18-22
Nigeria,Japan,Kyoto,2015,2845,Male,18-22
India,Singapore,Singapore,2015,4065,Female,27+
Bangladesh,Australia,Melbourne,2019,4699,Male,23-26
Bangladesh,South Africa,Johannesburg,2017,1272,Male,23-26
Nepal,Ireland,Dublin,2017,1195,Male,18-22
Nigeria,France,Marseille,2018,4665,Male,23-26
Pakistan,USA,Chicago,2023,8531,Female,18-22
Turkey,Singapore,Singapore,2020,2214,Non-binary,18-22
Nepal,Australia,Melbourne,2015,2480,Female,23-26
Kenya,UK,Manchester,2020,4246,Female,23-26
Kenya,Netherlands,Eindhoven,2021,2313,Female,18-22
Nigeria,Australia,Sydney,2017,4060,Male,23-26
India,Japan,Tokyo,2015,5742,Female,23-26
China,Germany,Hamburg,2020,6428,Male,18-22
China,Netherlands,Amsterdam,2015,3232,Female,18-22
Turkey,Canada,Toronto,2021,4336,Male,18-22
Pakistan,Netherlands,Rotterdam,2021,1914,Male,18-22
Brazil,Finland,Tampere,2017,583,Male,18-22
Nepal,Russia,Moscow,2021,2282,Male,23-26
Turkey,Finland,Turku,2019,668,Male,18-22
Kenya,South Africa,Johannesburg,2023,2165,Female,18-22
Brazil,Finland,Helsinki,2016,383,Male,23-26
Kenya,Australia,Brisbane,2016,3632,Male,18-22
Nigeria,USA,Boston,2019,9295,Female,18-22
Pakistan,Japan,Kyoto,2023,3045,Male,18-22
Turkey,USA,Los Angeles,2015,3891,Male,23-26
Kenya,Russia,St. Petersburg,2017,1593,Male,27+
Vietnam,Russia,Moscow,2022,2323,Female,18-22
Kenya,Canada,Toronto,2018,3706,Female,18-22
Turkey,Russia,St. Petersburg,2024,1276,Male,23-26
Nigeria,Spain,Madrid,2024,4290,Male,18-22
Kenya,France,Marseille,2015,2864,Male,27+
India,UAE,Dubai,2015,2173,Male,18-22
Pakistan,Sweden,Stockholm,2020,1715,Male,23-26
Nepal,Singapore,Singapore,2024,1814,Male,18-22
Brazil,USA,Los Angeles,2018,4108,Female,18-22
Brazil,Netherlands,Amsterdam,2019,1823,Female,23-26
Bangladesh,South Africa,Pretoria,2021,1548,Female,18-22
Brazil,Ireland,Cork,2016,793,Male,23-26
China,Italy,Milan,2015,3597,Female,23-26
Bangladesh,Norway,Bergen,2022,1671,Male,23-26
India,UK,Birmingham,2024,14002,Female,18-22
Pakistan,Singapore,Singapore,2018,2135,Male,27+
Bangladesh,Spain,Madrid,2024,3204,Female,18-22
Nepal,Russia,Moscow,2021,1861,Non-binary,18-22
Vietnam,Singapore,Singapore,2024,2541,Female,18-22
Turkey,Spain,Valencia,2024,3322,Male,23-26
Nigeria,Sweden,Stockholm,2020,2490,Female,18-22
Brazil,India,Delhi,2019,1327,Male,18-22
Vietnam,Australia,Brisbane,2024,3972,Male,23-26
Kenya,India,Mumbai,2023,1550,Female,18-22
Nigeria,Netherlands,Rotterdam,2019,2524,Male,23-26
Nepal,Ireland,Cork,2016,932,Female,27+
Pakistan,Australia,Brisbane,2021,3470,Male,23-26
Brazil,South Korea,Daejeon,2023,2638,Female,27+
Turkey,South Korea,Busan,2021,3179,Male,18-22
Nigeria,USA,Chicago,2022,10780,Female,18-22
Kenya,Netherlands,Amsterdam,2015,1880,Male,18-22
Turkey,South Korea,Busan,2018,1628,Female,18-22
Nigeria,Canada,Toronto,2024,6279,Female,18-22
Nigeria,Ireland,Cork,2021,1142,Non-binary,23-26
China,UAE,Abu Dhabi,2022,2155,Male,23-26
Turkey,Italy,Florence,2023,2202,Male,18-22
India,Singapore,Singapore,2019,5196,Male,18-22
Nigeria,Australia,Melbourne,2021,4985,Male,23-26
Bangladesh,France,Marseille,2016,2324,Male,23-26
China,Netherlands,Eindhoven,2020,3537,Male,23-26
Pakistan,Italy,Rome,2019,1986,Female,18-22
China,UAE,Dubai,2020,1985,Female,23-26
Kenya,USA,Boston,2020,6858,Female,18-22
India,USA,Los Angeles,2017,15249,Male,23-26
Bangladesh,Germany,Munich,2024,3864,Male,18-22
Kenya,Netherlands,Amsterdam,2021,1756,Female,18-22
Vietnam,South Korea,Daejeon,2023,2894,Female,18-22
Turkey,Canada,Vancouver,2020,3801,Male,18-22
India,Russia,Moscow,2020,4301,Female,23-26
Turkey,South Korea,Busan,2019,2453,Female,18-22
Pakistan,Russia,Moscow,2023,2349,Male,23-26
Kenya,Spain,Madrid,2020,2758,Female,18-22
Kenya,Norway,Trondheim,2016,1058,Male,23-26
China,Norway,Bergen,2017,2486,Female,23-26
Brazil,Australia,Melbourne,2017,2640,Female,27+
Bangladesh,Canada,Toronto,2024,4574,Female,18-22
Vietnam,India,Delhi,2015,1094,Female,18-22
India,Finland,Turku,2016,1381,Female,18-22
India,Sweden,Uppsala,2023,4764,Male,23-26
Brazil,Singapore,Singapore,2019,1853,Male,18-22
Brazil,UAE,Abu Dhabi,2021,996,Female,23-26
Nepal,France,Lyon,2015,2153,Female,18-22
India,South Korea,Seoul,2016,4932,Female,23-26
Vietnam,Germany,Berlin,2018,2570,Male,18-22
Bangladesh,Japan,Osaka,2024,3310,Male,23-26
Kenya,UK,Manchester,2024,5000,Male,18-22
Vietnam,Canada,Montreal,2018,4642,Male,23-26
Nigeria,Finland,Turku,2020,971,Female,23-26
Turkey,UAE,Sharjah,2018,948,Male,18-22
Bangladesh,UK,London,2022,6086,Female,23-26
China,UAE,Dubai,2020,1945,Female,23-26
Kenya,Spain,Madrid,2015,2949,Male,23-26
Nigeria,Russia,St. Petersburg,2019,2946,Male,18-22
China,Norway,Oslo,2021,2902,Female,18-22
Kenya,Singapore,Singapore,2015,1388,Female,18-22
Turkey,Ireland,Galway,2019,692,Female,27+
Turkey,Italy,Milan,2019,1634,Female,23-26
Nigeria,South Korea,Busan,2015,2384,Male,18-22
Brazil,UK,Manchester,2016,4169,Male,27+
Vietnam,South Africa,Pretoria,2017,1355,Female,18-22
Nepal,Singapore,Singapore,2024,2564,Male,18-22
Vietnam,UK,Birmingham,2016,4142,Female,23-26
Nepal,India,Mumbai,2016,985,Male,18-22
Turkey,India,Mumbai,2019,1198,Female,18-22
Kenya,Germany,Hamburg,2020,2657,Female,18-22
Nepal,Netherlands,Rotterdam,2018,1814,Female,18-22
Nigeria,USA,New York,2024,11388,Female,23-26
India,Netherlands,Amsterdam,2023,5452,Female,23-26
Turkey,Australia,Brisbane,2024,4665,Female,27+
Kenya,Finland,Tampere,2023,717,Male,18-22
Bangladesh,Ireland,Cork,2020,936,Female,18-22
Bangladesh,Singapore,Singapore,2023,2522,Female,23-26
Nigeria,Germany,Munich,2017,4642,Male,18-22
India,Australia,Sydney,2015,7114,Male,18-22
Turkey,Singapore,Singapore,2023,2648,Male,18-22
Nepal,Sweden,Stockholm,2021,1667,Female,18-22
Kenya,USA,Boston,2021,5447,Male,18-22
Kenya,Sweden,Stockholm,2023,1904,Male,23-26
Brazil,Sweden,Stockholm,2015,1274,Female,18-22
Turkey,Australia,Sydney,2016,3193,Female,18-22
China,Ireland,Cork,2019,1572,Female,23-26
Brazil,France,Lyon,2020,3458,Male,18-22
India,India,Delhi,2017,2827,Female,18-22
China,Australia,Melbourne,2019,5848,Female,18-22
Pakistan,Japan,Kyoto,2022,3144,Male,27+
Bangladesh,Russia,Moscow,2017,1949,Male,23-26
Turkey,Norway,Oslo,2017,1543,Male,23-26
Kenya,Germany,Berlin,2023,3090,Female,18-22
Pakistan,Ireland,Galway,2019,851,Male,18-22
China,South Africa,Johannesburg,2024,3157,Male,18-22
Kenya,Sweden,Gothenburg,2017,1789,Male,18-22
Nepal,USA,Los Angeles,2018,5528,Male,18-22
Nigeria,Netherlands,Amsterdam,2020,2882,Female,18-22
Bangladesh,South Korea,Busan,2017,1752,Female,23-26
China,Finland,Turku,2022,1395,Male,18-22
Pakistan,UK,London,2020,4071,Male,27+
Vietnam,South Africa,Johannesburg,2019,1703,Female,23-26
Vietnam,Singapore,Singapore,2021,1990,Female,18-22
Brazil,Italy,Rome,2018,1666,Female,23-26
India,USA,New York,2017,13444,Female,23-26
Nigeria,Sweden,Uppsala,2017,1505,Male,23-26
Bangladesh,South Korea,Daejeon,2018,1499,Male,18-22
Bangladesh,Spain,Valencia,2015,1875,Male,18-22
China,Singapore,Singapore,2016,3676,Female,23-26
China,Canada,Montreal,2018,6979,Female,23-26
Kenya,Singapore,Singapore,2023,1933,Male,27+
Nigeria,Canada,Montreal,2018,5229,Male,18-22
India,Germany,Hamburg,2018,7673,Female,18-22
Bangladesh,Australia,Brisbane,2023,4572,Male,23-26
Kenya,Ireland,Galway,2018,1013,Male,18-22
China,India,Mumbai,2017,2221,Male,18-22
Bangladesh,India,Mumbai,2018,1229,Female,18-22
China,India,Delhi,2024,2967,Male,18-22
Brazil,Ireland,Dublin,2020,958,Male,27+
India,Germany,Berlin,2022,7998,Male,18-22
Bangladesh,Japan,Tokyo,2023,2643,Female,18-22
Turkey,Russia,Moscow,2021,1419,Male,18-22
Turkey,Spain,Valencia,2023,2993,Female,18-22
India,South Korea,Busan,2022,6550,Male,18-22
Brazil,Italy,Rome,2023,2815,Female,18-22
Nepal,UK,London,2021,3235,Non-binary,23-26
Bangladesh,India,Delhi,2018,1101,Male,18-22
Pakistan,India,Bangalore,2018,740,Male,23-26
Vietnam,Germany,Hamburg,2023,3988,Male,23-26
Pakistan,USA,Los Angeles,2015,4975,Female,18-22
Vietnam,Singapore,Singapore,2016,1610,Male,18-22
Nigeria,India,Delhi,2024,2193,Female,23-26
Nigeria,Netherlands,Eindhoven,2020,2730,Male,18-22
Brazil,Italy,Milan,2019,2396,Male,18-22
Pakistan,UK,Birmingham,2024,3528,Female,18-22
Bangladesh,South Korea,Daejeon,2018,1569,Male,23-26
Pakistan,France,Marseille,2023,2801,Male,23-26
India,South Africa,Cape Town,2019,3827,Female,23-26
Vietnam,Russia,St. Petersburg,2016,2278,Male,23-26
Turkey,Canada,Toronto,2017,3105,Male,23-26
Pakistan,UK,London,2023,5098,Female,18-22
Kenya,UK,Manchester,2022,3283,Female,23-26
Bangladesh,Ireland,Cork,2022,994,Male,18-22
Turkey,South Korea,Daejeon,2024,2416,Female,23-26
Kenya,Norway,Trondheim,2015,1451,Male,18-22
India,UAE,Dubai,2018,2181,Male,27+
China,Netherlands,Rotterdam,2017,3112,Male,23-26
Brazil,Germany,Hamburg,2015,3379,Female,18-22
Kenya,Netherlands,Eindhoven,2018,1326,Male,23-26
China,Ireland,Dublin,2017,1285,Male,23-26
Nigeria,Canada,Montreal,2020,5633,Male,23-26
Brazil,USA,Boston,2021,6079,Male,27+
India,Finland,Helsinki,2015,1258,Male,27+
Brazil,Norway,Bergen,2019,1254,Male,23-26
Nigeria,Germany,Berlin,2020,5115,Male,18-22
Nigeria,Norway,Oslo,2016,1505,Male,23-26
Bangladesh,Singapore,Singapore,2016,1943,Female,27+
Turkey,Italy,Florence,2015,2114,Female,18-22
India,Finland,Turku,2020,1721,Female,23-26
Turkey,South Africa,Pretoria,2024,2067,Male,18-22
Nigeria,Russia,Moscow,2020,2721,Male,18-22
Vietnam,South Africa,Cape Town,2020,1451,Female,18-22
China,Canada,Montreal,2022,8520,Female,23-26
Nigeria,Germany,Hamburg,2024,5641,Female,27+
Turkey,Italy,Milan,2018,2384,Male,18-22
Pakistan,South Africa,Pretoria,2017,801,Male,18-22
Pakistan,Australia,Melbourne,2021,3738,Male,23-26
Nepal,Spain,Barcelona,2015,2006,Male,18-22
Nigeria,Spain,Barcelona,2017,2590,Female,23-26
Bangladesh,Japan,Osaka,2016,2124,Female,23-26
Pakistan,Italy,Florence,2022,2848,Male,18-22
Vietnam,Netherlands,Eindhoven,2016,1336,Female,23-26
Turkey,Russia,Kazan,2021,1738,Male,18-22
Kenya,Sweden,Stockholm,2021,1861,Female,18-22
Bangladesh,South Korea,Busan,2022,3083,Male,23-26
Vietnam,Spain,Madrid,2023,2567,Female,27+
Bangladesh,France,Marseille,2022,2819,Male,18-22
India,USA,New York,2016,11846,Male,23-26
Bangladesh,France,Marseille,2020,3184,Female,23-26
Bangladesh,Norway,Trondheim,2021,1449,Male,18-22
Bangladesh,South Africa,Johannesburg,2017,1012,Male,18-22
Nepal,Sweden,Uppsala,2024,1912,Male,18-22
Kenya,Canada,Vancouver,2020,4037,Male,27+
China,France,Lyon,2018,5966,Male,18-22
Nepal,Ireland,Galway,2024,1023,Male,27+
Vietnam,Australia,Sydney,2022,4149,Female,23-26
Nigeria,Germany,Munich,2020,5129,Male,27+
Kenya,Ireland,Galway,2020,850,Female,18-22
Vietnam,UK,Birmingham,2016,4311,Male,23-26
Turkey,Norway,Trondheim,2024,1468,Female,18-22
China,Australia,Brisbane,2018,6291,Male,18-22
Bangladesh,USA,Boston,2021,8454,Male,18-22
Kenya,Australia,Sydney,2019,4241,Male,23-26
Brazil,Netherlands,Rotterdam,2020,2029,Male,18-22
India,Norway,Bergen,2016,2869,Female,23-26
China,Germany,Munich,2018,4545,Female,18-22
Turkey,Norway,Trondheim,2017,1210,Male,27+
Brazil,India,Bangalore,2018,965,Female,18-22
Bangladesh,India,Delhi,2018,1073,Female,23-26
Nepal,UAE,Sharjah,2020,781,Female,27+
Kenya,UAE,Dubai,2023,1112,Female,23-26
India,UAE,Abu Dhabi,2022,2863,Male,18-22
India,Canada,Montreal,2024,10204,Male,18-22
China,Sweden,Gothenburg,2016,2839,Male,18-22
China,South Africa,Johannesburg,2019,3118,Female,18-22
Pakistan,Russia,Kazan,2023,1189,Female,23-26
Bangladesh,USA,New York,2023,6788,Male,27+
China,Norway,Oslo,2015,2431,Male,18-22
Bangladesh,Netherlands,Eindhoven,2017,1759,Male,23-26
Nigeria,Australia,Melbourne,2016,4734,Male,18-22
Turkey,Germany,Hamburg,2024,3331,Female,18-22
Vietnam,France,Lyon,2022,3756,Female,27+
Nepal,Spain,Barcelona,2023,2660,Female,23-26
Pakistan,Russia,St. Petersburg,2015,1322,Male,23-26
India,India,Mumbai,2020,3069,Male,18-22
China,South Korea,Busan,2022,5159,Male,18-22
Turkey,Singapore,Singapore,2017,2002,Female,18-22
Vietnam,Australia,Melbourne,2021,3514,Male,18-22
China,France,Paris,2019,6225,Female,23-26
China,Sweden,Gothenburg,2020,3287,Female,23-26
Vietnam,Canada,Vancouver,2018,3307,Non-binary,18-22
Bangladesh,Sweden,Uppsala,2015,908,Female,18-22
Pakistan,South Africa,Pretoria,2018,1184,Female,18-22
Vietnam,USA,Boston,2019,5332,Male,23-26
Brazil,Netherlands,Amsterdam,2022,1999,Female,23-26
Pakistan,USA,New York,2021,6720,Male,18-22
Brazil,Sweden,Gothenburg,2022,1751,Male,18-22
India,Netherlands,Eindhoven,2016,4015,Female,23-26
Kenya,Canada,Montreal,2021,4217,Male,18-22
Bangladesh,Sweden,Gothenburg,2020,1770,Male,27+
Pakistan,Netherlands,Eindhoven,2017,2301,Female,23-26
Kenya,UAE,Dubai,2015,1080,Female,18-22
Brazil,South Africa,Pretoria,2019,1498,Female,23-26
Brazil,Russia,Kazan,2019,2173,Male,18-22
Nepal,France,Paris,2022,4028,Male,18-22
Brazil,UK,Manchester,2018,4026,Female,18-22
China,France,Lyon,2016,6387,Female,18-22
China,Finland,Helsinki,2017,1043,Non-binary,18-22
Turkey,Singapore,Singapore,2021,2647,Female,18-22
Nepal,India,Mumbai,2024,1403,Male,18-22
Nepal,UAE,Abu Dhabi,2017,912,Female,23-26
Pakistan,Canada,Toronto,2022,4348,Female,18-22
Kenya,Russia,St. Petersburg,2017,1597,Male,23-26
Kenya,Sweden,Uppsala,2021,1677,Female,18-22
Nigeria,Canada,Toronto,2023,6147,Female,23-26
Vietnam,Netherlands,Eindhoven,2022,2436,Female,18-22
Nepal,Japan,Osaka,2016,3335,Female,23-26
Nepal,France,Marseille,2018,3914,Female,18-22
Nepal,Spain,Valencia,2020,1205,Male,18-22
China,Netherlands,Amsterdam,2022,4069,Non-binary,27+
Nepal,Germany,Munich,2017,3033,Male,27+
China,South Korea,Busan,2018,4073,Female,23-26
Kenya,Netherlands,Rotterdam,2020,2055,Male,18-22
Vietnam,Sweden,Gothenburg,2023,2238,Male,23-26
China,South Africa,Pretoria,2020,2961,Male,23-26
Turkey,UK,Birmingham,2016,3511,Male,23-26
Pakistan,UAE,Sharjah,2024,1109,Male,23-26
Bangladesh,UAE,Dubai,2024,1234,Female,23-26
Nigeria,Singapore,Singapore,2019,2936,Female,18-22
Nigeria,UAE,Sharjah,2022,1466,Male,18-22
China,Canada,Montreal,2018,6387,Male,23-26
Turkey,France,Lyon,2020,3320,Male,18-22
India,Russia,Moscow,2021,4281,Female,18-22
Bangladesh,UK,Manchester,2024,5216,Female,18-22
China,India,Bangalore,2015,1953,Female,23-26
Vietnam,USA,Boston,2023,7638,Male,18-22
Kenya,South Korea,Daejeon,2019,3298,Male,23-26
Pakistan,India,Bangalore,2019,1206,Male,23-26
Nepal,Norway,Bergen,2018,1571,Female,27+
Nigeria,India,Bangalore,2022,2170,Female,18-22
